NAME,Smiles
d1,CC(=O)NCCCS(O)(=O)=O
d2,CC(=O)NC1=CC=C(O)C=C1
d3,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O
d4,CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2
d5,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
d6,NC12CC3CC(CC(C3)C1)C2
d7,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl
d8,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
d9,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1
d10,CC(N)CC1=CC=CC=C1
d11,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23
d12,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
d13,ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl
d14,OC(=O)\C=C/C(O)=O.CN1CC2C(C1)C1=C(OC3=CC=CC=C23)C=CC(Cl)=C1
d15,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1
d16,NCC(CC(O)=O)C1=CC=C(Cl)C=C1
d17,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C
d18,[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]21O)C(C)C
d19,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4
d20,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1
d21,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1
d22,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
d23,[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1
d24,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
d25,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12
d26,O.C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
d27,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
d28,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F
d29,CNC1=NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=N(=O)C1
d30,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2
d31,ClC1=CC2=C(OC(=O)N2)C=C1
d32,C[N+](C)(C)CCO
d33,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
d34,CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)CC1=O
d35,CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=C(Cl)C=C2
d36,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1
d37,ClC1=CC=CC(Cl)=C1NC1=NCCN1
d38,OC(=O)C1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2
d39,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12
d40,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O
d41,CN(C)CCC=C1C2=CC=CC=C2C=CC2=CC=CC=C12
d42,NC1=CC=NC=C1
