NAME,SMILES
np1,CN1C=NC(C[C@H](N)C(O)=O)=C1
np2,NCCCN
np3,CCC(=O)C(O)=O
np4,CCC(O)C(O)=O
np5,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3
np6,C[C@@H](O)CC(O)=O
np7,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O
np8,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1
np9,[H]C12CC[C@](O)(C(=O)CO)[C@@]1(C)CCC1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
np10,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
np11,CC1=NC=C(CO)C(C(O)=O)=C1O
np12,CC(C)C(=O)C(O)=O
np13,OC(=O)CC1=CC=C(O)C=C1
np14,N[C@@H](CC1=CC=C(O)C(I)=C1)C(O)=O
np15,COC1=C(O)C=CC(CCN)=C1
np16,C[C@@H](CO)C(O)=O
np17,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OS(O)(=O)=O)[C@H]1O)[C@H](O)\C=C\CCCCCCCCCCCCC
np18,NC(=O)NCCC(O)=O
np19,CC(O)C(O)C1CNC2=C(N1)C(=O)N=C(N)N2
np20,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
np21,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(O)CC[C@]12C
np22,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])C2=CC=C2C[C@@H](O)CC[C@]12C
np23,NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O
np24,NC1=C2NC=NC2=NC=N1
np25,[H][C@@]12C[C@H](O)CCC1(C)C1C[C@H](O)C3(C)C(CCC3C1[C@H](O)C2)C(C)CCC(=O)NCCS(O)(=O)=O
np26,C[C@]12CCC(=O)C=C1CCC1C3CC[C@H](C(=O)CO)[C@]3(C[C@H](O)C21)C=O
np27,CC(O)C(O)C1=NC2=C(NC1)N=C(N)NC2=O
np28,CCCC(O)=O
np29,CC(O)=O
np30,C[N+](C)(C)CC([O-])=O
np31,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
np32,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
np33,OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
np34,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
np35,N
np36,N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O
np37,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
np38,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1
np39,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
np40,NCCC(O)=O
np41,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O
np42,CC(=O)CC(O)=O
np43,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
np44,C[N+](C)(C)C[C@H](O)CC([O-])=O
np45,[H][C@@]12CC[C@@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
np46,CN(CC(O)=O)C(N)=N
np47,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2CC(O)CC[C@]12C
np48,CNC[C@H](O)C1=CC(O)=C(O)C=C1
np49,OC(=O)C1CCCCN1
np50,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O
np51,OC(=O)C\C(=C\C(O)=O)C(O)=O
np52,NCCC1=CC(O)=C(O)C=C1
