NameA,NameB,CmpdA,CmpdB,A#,B#,MCS,MCSAtomCount,MCSS
d1,d1,CC(=O)NCCCS(O)(=O)=O,CC(=O)NCCCS(O)(=O)=O,11,11,[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#7&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#16&!R](-&!@[#8&!R])(=&!@[#8&!R])=&!@[#8&!R],11,1.0
d1,d2,CC(=O)NCCCS(O)(=O)=O,CC(=O)NC1=CC=C(O)C=C1,11,11,[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#7&!R],4,0.2222222222222222
d2,d1,CC(=O)NC1=CC=C(O)C=C1,CC(=O)NCCCS(O)(=O)=O,11,11,[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#7&!R],4,0.2222222222222222
d1,d3,CC(=O)NCCCS(O)(=O)=O,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,11,30,[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#7&!R],4,0.10810810810810811
d3,d1,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,CC(=O)NCCCS(O)(=O)=O,30,11,[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#7&!R],4,0.10810810810810811
d1,d4,CC(=O)NCCCS(O)(=O)=O,CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2,11,23,[#6&!R]-&!@[#6&!R]-&!@[#7&!R]-&!@[#6&!R],4,0.13333333333333333
d4,d1,CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2,CC(=O)NCCCS(O)(=O)=O,23,11,[#6&!R]-&!@[#6&!R]-&!@[#7&!R]-&!@[#6&!R],4,0.13333333333333333
d1,d5,CC(=O)NCCCS(O)(=O)=O,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,11,22,[#6&!R],1,0.03125
d5,d1,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,CC(=O)NCCCS(O)(=O)=O,22,11,[#6&!R],1,0.03125
d1,d6,CC(=O)NCCCS(O)(=O)=O,NC12CC3CC(CC(C3)C1)C2,11,11,[#7&!R],1,0.047619047619047616
d6,d1,NC12CC3CC(CC(C3)C1)C2,CC(=O)NCCCS(O)(=O)=O,11,11,[#7&!R],1,0.047619047619047616
d1,d7,CC(=O)NCCCS(O)(=O)=O,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl,11,36,[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#7&!R]-&!@[#6&!R]-&!@[#6&!R],6,0.14634146341463414
d7,d1,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl,CC(=O)NCCCS(O)(=O)=O,36,11,[#6&!R]-&!@[#6&!R](=&!@[#8&!R])-&!@[#7&!R]-&!@[#6&!R]-&!@[#6&!R],6,0.14634146341463414
d1,d8,CC(=O)NCCCS(O)(=O)=O,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,11,21,[#6&!R]-&!@[#7&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R],5,0.18518518518518517
d8,d1,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,CC(=O)NCCCS(O)(=O)=O,21,11,[#6&!R]-&!@[#7&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R],5,0.18518518518518517
d1,d9,CC(=O)NCCCS(O)(=O)=O,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1,11,22,,0,0.0
d9,d1,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1,CC(=O)NCCCS(O)(=O)=O,22,11,,0,0.0
d1,d10,CC(=O)NCCCS(O)(=O)=O,CC(N)CC1=CC=CC=C1,11,10,[#6&!R]-&!@[#6&!R]-&!@[#7&!R],3,0.16666666666666666
d10,d1,CC(N)CC1=CC=CC=C1,CC(=O)NCCCS(O)(=O)=O,10,11,[#6&!R]-&!@[#6&!R]-&!@[#7&!R],3,0.16666666666666666
d1,d11,CC(=O)NCCCS(O)(=O)=O,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,11,20,[#6&!R],1,0.03333333333333333
d11,d1,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,CC(=O)NCCCS(O)(=O)=O,20,11,[#6&!R],1,0.03333333333333333
d1,d12,CC(=O)NCCCS(O)(=O)=O,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,11,37,[#6&!R]-&!@[#6&!R],2,0.043478260869565216
d12,d1,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,CC(=O)NCCCS(O)(=O)=O,37,11,[#6&!R]-&!@[#6&!R],2,0.043478260869565216
d1,d13,CC(=O)NCCCS(O)(=O)=O,ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl,11,30,[#6&!R]-&!@[#6&!R]-&!@[#6&!R],3,0.07894736842105263
d13,d1,ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl,CC(=O)NCCCS(O)(=O)=O,30,11,[#6&!R]-&!@[#6&!R]-&!@[#6&!R],3,0.07894736842105263
d1,d14,CC(=O)NCCCS(O)(=O)=O,OC(=O)\C=C/C(O)=O.CN1CC2C(C1)C1=C(OC3=CC=CC=C23)C=CC(Cl)=C1,11,28,[#6&!R]-&!@[#6&!R]=&!@[#8&!R],3,0.08333333333333333
d14,d1,OC(=O)\C=C/C(O)=O.CN1CC2C(C1)C1=C(OC3=CC=CC=C23)C=CC(Cl)=C1,CC(=O)NCCCS(O)(=O)=O,28,11,[#6&!R]-&!@[#6&!R]=&!@[#8&!R],3,0.08333333333333333
d1,d15,CC(=O)NCCCS(O)(=O)=O,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,11,19,[#6&!R]-&!@[#7&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R],5,0.2
d15,d1,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,CC(=O)NCCCS(O)(=O)=O,19,11,[#6&!R]-&!@[#7&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R],5,0.2
d1,d16,CC(=O)NCCCS(O)(=O)=O,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,11,14,[#7&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R],4,0.19047619047619047
d16,d1,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,CC(=O)NCCCS(O)(=O)=O,14,11,[#7&!R]-&!@[#6&!R]-&!@[#6&!R]-&!@[#6&!R],4,0.19047619047619047
d1,d17,CC(=O)NCCCS(O)(=O)=O,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,11,23,[#6&!R],1,0.030303030303030304
d17,d1,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,CC(=O)NCCCS(O)(=O)=O,23,11,[#6&!R],1,0.030303030303030304
